States,Year,"Agriculture, Forestry and Fishing",Mining and Quarrying,Manufacturing,"Electricity, Gas, Water supply & Other utility Services",Construction,"Trade, Repair, Hotels and Restaurants","Transport, Storage, Communication & Services related to Broadcasting",Financial Services,"Real Estate, Ownership of Dwelling & Professional Services",Public Administration,Other Services,TOTAL NSVA at basic prices
TAMIL NADU,2017-18,154028,4722,241194,20629,136651,150337,64696,72320,200404,33822,104667,1183470
TAMIL NADU,2018-19,166016,5187,271638,17797,155105,180755,70313,81203,218604,38571,123092,1328282
TAMIL NADU,2019-20,188224,4520,294959,22410,163126,197334,71243,90964,246135,42368,139377,1460662
TAMIL NADU,2020-21,208782,3700,299679,24806,169666,201814,73051,100812,262193,44497,155937,1544935
TAMIL NADU,2021-22,234907,4015,344436,28298,194817,236488,85152,114695,294000,50183,182356,1769348
TELANGANA,2017-18,95098,19885,71274,7410,32468,100247,35701,39892,122977,23060,61542,609554
TELANGANA,2018-19,107472,28115,85601,9122,35197,124701,38628,42780,138945,23300,64048,697909
TELANGANA,2019-20,147698,24999,81771,11675,34675,143166,41446,45665,158679,21945,70885,782605
TELANGANA,2020-21,166086,22842,80571,11730,35424,130955,40548,47766,162808,24792,78617,802139
TELANGANA,2021-22,181702,25866,103610,12596,39101,169354,43776,53259,186257,29646,93780,938946
TRIPURA,2017-18,12758,3276,1323,1205,2382,4199,1110,1328,2333,3993,4233,38142
TRIPURA,2018-19,14975,3782,1246,1291,2995,4799,1119,1154,2488,5104,4038,42990
TRIPURA,2019-20,17982,3817,1187,1151,3035,5151,1214,1324,2776,5999,4403,48037
TRIPURA,2020-21,18532,4328,1056,1144,3018,5192,1311,1404,2942,6550,4672,50148
TRIPURA,2021-22,22132,5524,1176,1417,3343,5209,838,1590,3330,7580,5094,57234
UTTAR PRADESH,2017-18,299143,21574,153827,21327,128812,119174,78664,46630,156948,71735,65536,1163369
UTTAR PRADESH,2018-19,322506,20878,147977,21453,150543,135852,85822,52348,169513,80083,72358,1259332
UTTAR PRADESH,2019-20,350392,9971,141305,27311,154353,148109,96460,58389,185090,90326,85288,1346994
UTTAR PRADESH,2020-21,364238,13947,134663,30152,151439,123815,77871,63035,199902,92570,86076,1337708
UTTAR PRADESH,2021-22,394709,14344,165352,33031,167384,138818,91691,71026,220743,105685,97760,1500543
UTTARAKHAND,2017-18,16958,2487,69653,4634,14601,27272,9194,5198,7783,7725,12844,178347
UTTARAKHAND,2018-19,17546,2876,71503,4830,16662,31741,9247,5773,8486,7472,13324,189460
UTTARAKHAND,2019-20,19394,2382,68542,4988,16363,35011,10353,6344,9356,7025,14083,193841
UTTARAKHAND,2020-21,21398,1734,61689,4954,15425,28719,7086,6382,9619,8906,16878,182791
WEST BENGAL,2017-18,207749,6871,98621,12553,59972,142004,42593,46190,101374,33566,78173,829666
WEST BENGAL,2018-19,223872,8393,123009,12497,67187,163981,44662,50002,109911,39775,85989,929278
WEST BENGAL,2019-20,240191,8458,129973,13914,67005,178297,50524,54920,120134,52154,103091,1018661
WEST BENGAL,2020-21,259001,9003,123378,14069,75330,199509,50244,58055,134551,58548,123177,1104866
